Column1,futureYear,Month,DATE,Year,Day,TAVG,DoY,futureTAVG,NormalMMAX,futureTMAX,futureDeltaMAX,futureDeltaDuration,futureDeltaFrequency,futureDeltaPeak,frequencyBanned,futureHeatwave,Time,HeatWaveAdditional
1,2035,1,2001-01-01,2001,1,22.275,01-01,23.275,26.6484324324324,25.93,-0.718432432432433,4,58,1.0213509,0,23.275,1,0.0
2,2035,1,2001-01-02,2001,2,23.6875,01-02,24.6875,26.6484324324324,27.53,0.881567567567568,4,58,1.0213509,0,24.6875,2,0.0
3,2035,1,2001-01-03,2001,3,24.4714285714286,01-03,25.4714285714286,26.6484324324324,27.43,0.781567567567567,4,58,1.0213509,0,25.4714285714286,3,0.0
4,2035,1,2001-01-04,2001,4,24.8125,01-04,25.8125,26.6484324324324,28.43,1.78156756756757,4,58,1.0213509,0,25.8125,4,0.0
5,2035,1,2001-01-05,2001,5,24.15,01-05,25.15,26.6484324324324,26.53,-0.118432432432432,4,58,1.0213509,0,25.15,5,0.0
6,2035,1,2001-01-06,2001,6,24.4,01-06,25.4,26.6484324324324,28.13,1.48156756756757,4,58,1.0213509,0,25.4,6,0.0
7,2035,1,2001-01-07,2001,7,24.1125,01-07,25.1125,26.6484324324324,28.13,1.48156756756757,4,58,1.0213509,0,25.1125,7,0.0
8,2035,1,2001-01-08,2001,8,24.3428571428571,01-08,25.3428571428571,26.6484324324324,27.93,1.28156756756757,4,58,1.0213509,0,25.3428571428571,8,0.0
9,2035,1,2001-01-09,2001,9,23.5875,01-09,24.5875,26.6484324324324,28.33,1.68156756756757,4,58,1.0213509,0,24.5875,9,0.0
10,2035,1,2001-01-10,2001,10,24.725,01-10,25.725,26.6484324324324,29.33,2.68156756756757,4,58,1.0213509,0,25.725,10,0.0
11,2035,1,2001-01-11,2001,11,25.1,01-11,26.1,26.6484324324324,28.83,2.18156756756757,4,58,1.0213509,0,26.1,11,0.0
12,2035,1,2001-01-12,2001,12,25.2,01-12,26.2,26.6484324324324,29.13,2.48156756756757,4,58,1.0213509,0,26.2,12,0.0
13,2035,1,2001-01-13,2001,13,24.4625,01-13,25.4625,26.6484324324324,26.53,-0.118432432432432,4,58,1.0213509,0,25.4625,13,0.0
14,2035,1,2001-01-14,2001,14,23.7125,01-14,24.7125,26.6484324324324,25.93,-0.718432432432433,4,58,1.0213509,0,24.7125,14,0.0
