Column1,futureYear,Month,DATE,Year,Day,TAVG,DoY,futureTAVG,NormalMMAX,futureTMAX,futureDeltaMAX,futureDeltaDuration,futureDeltaFrequency,futureDeltaPeak,frequencyBanned,futureHeatwave,Time,HeatWaveAdditional
15,2035,1,2001-01-15,2001,15,25.4625,01-15,26.4625,26.6484324324324,28.53,1.88156756756757,4,58,1.0213509,0,26.4625,15,0.0
16,2035,1,2001-01-16,2001,16,25.15,01-16,26.15,26.6484324324324,26.53,-0.118432432432432,4,58,1.0213509,0,26.15,16,0.0
17,2035,1,2001-01-17,2001,17,22.7285714285714,01-17,23.7285714285714,26.6484324324324,26.13,-0.51843243243243,4,58,1.0213509,0,23.7285714285714,17,0.0
18,2035,1,2001-01-18,2001,18,22.5,01-18,23.5,26.6484324324324,23.83,-2.81843243243243,4,58,1.0213509,0,23.5,18,0.0
19,2035,1,2001-01-19,2001,19,23.4625,01-19,24.4625,26.6484324324324,25.23,-1.41843243243243,4,58,1.0213509,0,24.4625,19,0.0
20,2035,1,2001-01-20,2001,20,25.375,01-20,26.375,26.6484324324324,28.03,1.38156756756757,4,58,1.0213509,0,26.375,20,0.0
21,2035,1,2001-01-21,2001,21,24.2571428571429,01-21,25.2571428571429,26.6484324324324,27.43,0.781567567567567,4,58,1.0213509,0,25.2571428571429,21,0.0
22,2035,1,2001-01-22,2001,22,24.85,01-22,25.85,26.6484324324324,29.23,2.58156756756757,4,58,1.0213509,0,25.85,22,0.0
23,2035,1,2001-01-23,2001,23,25.3375,01-23,26.3375,26.6484324324324,28.73,2.08156756756757,4,58,1.0213509,0,26.3375,23,0.0
24,2035,1,2001-01-24,2001,24,26.0142857142857,01-24,27.0142857142857,26.6484324324324,29.93,3.28156756756757,4,58,1.0213509,0,27.0142857142857,24,0.0
25,2035,1,2001-01-25,2001,25,26.25,01-25,27.25,26.6484324324324,29.63,2.98156756756757,4,58,1.0213509,0,27.25,25,0.0
26,2035,1,2001-01-26,2001,26,26.725,01-26,27.725,26.6484324324324,30.13,3.48156756756757,4,58,1.0213509,0,27.725,26,0.0
27,2035,1,2001-01-27,2001,27,26.6875,01-27,27.6875,26.6484324324324,29.33,2.68156756756757,4,58,1.0213509,0,27.6875,27,0.0
28,2035,1,2001-01-28,2001,28,25.875,01-28,26.875,26.6484324324324,29.43,2.78156756756757,4,58,1.0213509,0,26.875,28,0.0
29,2035,1,2001-01-29,2001,29,25.2875,01-29,26.2875,26.6484324324324,27.93,1.28156756756757,4,58,1.0213509,0,26.2875,29,0.0
30,2035,1,2001-01-30,2001,30,24.5375,01-30,25.5375,26.6484324324324,28.73,2.08156756756757,4,58,1.0213509,0,25.5375,30,0.0
31,2035,1,2001-01-31,2001,31,23.0666666666667,01-31,24.0666666666667,26.6484324324324,27.53,0.881567567567568,4,58,1.0213509,0,24.0666666666667,31,0.0
32,2035,2,2001-02-01,2001,1,23.8125,02-01,24.6925,27.4143369175627,27.8,0.385663082437276,4,58,1.0213509,0,24.6925,32,0.0
33,2035,2,2001-02-02,2001,2,23.775,02-02,24.655,27.4143369175627,28.1,0.685663082437276,4,58,1.0213509,0,24.655,33,0.0
34,2035,2,2001-02-03,2001,3,23.9,02-03,24.78,27.4143369175627,28.6,1.18566308243728,4,58,1.0213509,0,24.78,34,0.0
35,2035,2,2001-02-04,2001,4,24.875,02-04,25.755,27.4143369175627,28.4,0.985663082437274,4,58,1.0213509,0,25.755,35,0.0
36,2035,2,2001-02-05,2001,5,25.0125,02-05,25.8925,27.4143369175627,29.4,1.98566308243727,4,58,1.0213509,0,25.8925,36,0.0
37,2035,2,2001-02-06,2001,6,24.2571428571429,02-06,25.1371428571429,27.4143369175627,27.3,-0.114336917562724,4,58,1.0213509,0,25.1371428571429,37,0.0
38,2035,2,2001-02-07,2001,7,25.85,02-07,26.73,27.4143369175627,29.1,1.68566308243728,4,58,1.0213509,0,26.73,38,0.0
39,2035,2,2001-02-08,2001,8,25.925,02-08,26.805,27.4143369175627,28.4,0.985663082437274,4,58,1.0213509,0,26.805,39,0.0
40,2035,2,2001-02-09,2001,9,25.6375,02-09,26.5175,27.4143369175627,28.7,1.28566308243727,4,58,1.0213509,0,26.5175,40,0.0
41,2035,2,2001-02-10,2001,10,25.475,02-10,26.355,27.4143369175627,28.6,1.18566308243728,4,58,1.0213509,0,26.355,41,0.0
42,2035,2,2001-02-11,2001,11,25.175,02-11,26.055,27.4143369175627,27.5,0.0856630824372751,4,58,1.0213509,0,26.055,42,0.0
43,2035,2,2001-02-12,2001,12,25.3,02-12,26.18,27.4143369175627,27.7,0.285663082437274,4,58,1.0213509,0,26.18,43,0.0
44,2035,2,2001-02-13,2001,13,26.0,02-13,26.88,27.4143369175627,28.1,0.685663082437276,4,58,1.0213509,0,26.88,44,0.0
45,2035,2,2001-02-14,2001,14,24.975,02-14,25.855,27.4143369175627,27.7,0.285663082437274,4,58,1.0213509,0,25.855,45,0.0
46,2035,2,2001-02-15,2001,15,23.625,02-15,24.505,27.4143369175627,27.3,-0.114336917562724,4,58,1.0213509,0,24.505,46,0.0
47,2035,2,2001-02-16,2001,16,23.9,02-16,24.78,27.4143369175627,27.7,0.285663082437274,4,58,1.0213509,0,24.78,47,0.0
48,2035,2,2001-02-17,2001,17,24.325,02-17,25.205,27.4143369175627,28.1,0.685663082437276,4,58,1.0213509,0,25.205,48,0.0
49,2035,2,2001-02-18,2001,18,24.1375,02-18,25.0175,27.4143369175627,27.8,0.385663082437276,4,58,1.0213509,0,25.0175,49,0.0
50,2035,2,2001-02-19,2001,19,24.3375,02-19,25.2175,27.4143369175627,29.0,1.58566308243728,4,58,1.0213509,0,25.2175,50,0.0
51,2035,2,2001-02-20,2001,20,24.05,02-20,24.93,27.4143369175627,28.3,0.885663082437276,4,58,1.0213509,0,24.93,51,0.0
52,2035,2,2001-02-21,2001,21,24.525,02-21,25.405,27.4143369175627,28.6,1.18566308243728,4,58,1.0213509,0,25.405,52,0.0
53,2035,2,2001-02-22,2001,22,24.7875,02-22,25.6675,27.4143369175627,27.9,0.485663082437274,4,58,1.0213509,0,25.6675,53,0.0
54,2035,2,2001-02-23,2001,23,24.9625,02-23,25.8425,27.4143369175627,28.4,0.985663082437274,4,58,1.0213509,0,26.863850900000003,54,1.0213509
55,2035,2,2001-02-24,2001,24,25.3125,02-24,26.1925,27.4143369175627,28.4,0.985663082437274,4,58,1.0213509,0,27.2138509,55,1.0213509
56,2035,2,2001-02-25,2001,25,25.3125,02-25,26.1925,27.4143369175627,28.4,0.985663082437274,4,58,1.0213509,0,27.2138509,56,1.0213509
57,2035,2,2001-02-26,2001,26,25.5875,02-26,26.4675,27.4143369175627,30.2,2.78566308243727,4,58,1.0213509,0,26.4675,57,0.0
58,2035,2,2001-02-27,2001,27,25.2,02-27,26.08,27.4143369175627,28.6,1.18566308243728,4,58,1.0213509,0,26.08,58,0.0
59,2035,2,2001-02-28,2001,28,25.8142857142857,02-28,26.6942857142857,27.4143369175627,30.0,2.58566308243728,4,58,1.0213509,0,26.6942857142857,59,0.0
60,2035,3,2001-03-01,2001,1,25.8375,03-01,26.7675,28.8554476806904,29.64,0.784552319309604,4,58,1.0213509,0,26.7675,60,0.0
61,2035,3,2001-03-02,2001,2,25.35,03-02,26.28,28.8554476806904,29.24,0.384552319309602,4,58,1.0213509,0,26.28,61,0.0
62,2035,3,2001-03-03,2001,3,26.5125,03-03,27.4425,28.8554476806904,30.44,1.5845523193096,4,58,1.0213509,0,27.4425,62,0.0
63,2035,3,2001-03-04,2001,4,26.1857142857143,03-04,27.1157142857143,28.8554476806904,28.74,-0.115447680690398,4,58,1.0213509,0,27.1157142857143,63,0.0
64,2035,3,2001-03-05,2001,5,25.3875,03-05,26.3175,28.8554476806904,29.14,0.284552319309604,4,58,1.0213509,0,26.3175,64,0.0
65,2035,3,2001-03-06,2001,6,25.9625,03-06,26.8925,28.8554476806904,29.84,0.984552319309604,4,58,1.0213509,0,26.8925,65,0.0
66,2035,3,2001-03-07,2001,7,26.2666666666667,03-07,27.1966666666667,28.8554476806904,28.94,0.0845523193096014,4,58,1.0213509,0,27.1966666666667,66,0.0
67,2035,3,2001-03-08,2001,8,26.625,03-08,27.555,28.8554476806904,29.54,0.684552319309603,4,58,1.0213509,0,27.555,67,0.0
68,2035,3,2001-03-09,2001,9,25.95,03-09,26.88,28.8554476806904,27.74,-1.1154476806904,4,58,1.0213509,0,26.88,68,0.0
69,2035,3,2001-03-10,2001,10,26.15,03-10,27.08,28.8554476806904,28.84,-0.0154476806903965,4,58,1.0213509,0,27.08,69,0.0
70,2035,3,2001-03-11,2001,11,26.3857142857143,03-11,27.3157142857143,28.8554476806904,29.24,0.384552319309602,4,58,1.0213509,0,27.3157142857143,70,0.0
71,2035,3,2001-03-12,2001,12,25.3857142857143,03-12,26.3157142857143,28.8554476806904,28.24,-0.615447680690398,4,58,1.0213509,0,26.3157142857143,71,0.0
72,2035,3,2001-03-13,2001,13,25.4875,03-13,26.4175,28.8554476806904,28.44,-0.415447680690399,4,58,1.0213509,0,26.4175,72,0.0
73,2035,3,2001-03-14,2001,14,26.175,03-14,27.105,28.8554476806904,29.54,0.684552319309603,4,58,1.0213509,0,27.105,73,0.0
74,2035,3,2001-03-15,2001,15,25.8625,03-15,26.7925,28.8554476806904,28.84,-0.0154476806903965,4,58,1.0213509,0,26.7925,74,0.0
75,2035,3,2001-03-16,2001,16,25.7125,03-16,26.6425,28.8554476806904,29.94,1.0845523193096,4,58,1.0213509,0,26.6425,75,0.0
76,2035,3,2001-03-17,2001,17,26.0875,03-17,27.0175,28.8554476806904,29.54,0.684552319309603,4,58,1.0213509,0,27.0175,76,0.0
77,2035,3,2001-03-18,2001,18,25.2625,03-18,26.1925,28.8554476806904,28.54,-0.315447680690397,4,58,1.0213509,0,26.1925,77,0.0
78,2035,3,2001-03-19,2001,19,25.0875,03-19,26.0175,28.8554476806904,26.84,-2.0154476806904,4,58,1.0213509,0,26.0175,78,0.0
79,2035,3,2001-03-20,2001,20,26.6,03-20,27.53,28.8554476806904,29.64,0.784552319309604,4,58,1.0213509,0,27.53,79,0.0
80,2035,3,2001-03-21,2001,21,27.2875,03-21,28.2175,28.8554476806904,30.34,1.4845523193096,4,58,1.0213509,0,28.2175,80,0.0
81,2035,3,2001-03-22,2001,22,28.1,03-22,29.03,28.8554476806904,31.34,2.4845523193096,4,58,1.0213509,0,30.051350900000003,81,1.0213509
82,2035,3,2001-03-23,2001,23,27.8,03-23,28.73,28.8554476806904,32.14,3.2845523193096,4,58,1.0213509,0,29.751350900000002,82,1.0213509
83,2035,3,2001-03-24,2001,24,27.6125,03-24,28.5425,28.8554476806904,31.84,2.9845523193096,4,58,1.0213509,0,29.563850900000002,83,1.0213509
84,2035,3,2001-03-25,2001,25,27.875,03-25,28.805,28.8554476806904,32.24,3.3845523193096,4,58,1.0213509,0,28.805,84,0.0
85,2035,3,2001-03-26,2001,26,27.1,03-26,28.03,28.8554476806904,31.44,2.5845523193096,4,58,1.0213509,0,28.03,85,0.0
86,2035,3,2001-03-27,2001,27,27.025,03-27,27.955,28.8554476806904,31.24,2.3845523193096,4,58,1.0213509,0,27.955,86,0.0
87,2035,3,2001-03-28,2001,28,27.15,03-28,28.08,28.8554476806904,31.64,2.7845523193096,4,58,1.0213509,0,28.08,87,0.0
88,2035,3,2001-03-29,2001,29,26.8,03-29,27.73,28.8554476806904,29.44,0.584552319309601,4,58,1.0213509,0,27.73,88,0.0
89,2035,3,2001-03-30,2001,30,27.45,03-30,28.38,28.8554476806904,30.54,1.6845523193096,4,58,1.0213509,0,28.38,89,0.0
90,2035,3,2001-03-31,2001,31,27.1375,03-31,28.0675,28.8554476806904,31.44,2.5845523193096,4,58,1.0213509,0,28.0675,90,0.0
91,2035,4,2001-04-01,2001,1,26.5875,04-01,27.6075,30.4919642857143,29.61,-0.881964285714282,4,58,1.0213509,0,27.6075,91,0.0
92,2035,4,2001-04-02,2001,2,27.175,04-02,28.195,30.4919642857143,30.21,-0.281964285714285,4,58,1.0213509,0,28.195,92,0.0
93,2035,4,2001-04-03,2001,3,27.3857142857143,04-03,28.4057142857143,30.4919642857143,31.01,0.518035714285716,4,58,1.0213509,0,28.4057142857143,93,0.0
94,2035,4,2001-04-04,2001,4,27.7125,04-04,28.7325,30.4919642857143,31.61,1.11803571428572,4,58,1.0213509,0,28.7325,94,0.0
95,2035,4,2001-04-05,2001,5,27.8666666666667,04-05,28.8866666666667,30.4919642857143,32.31,1.81803571428572,4,58,1.0213509,0,28.8866666666667,95,0.0
96,2035,4,2001-04-06,2001,6,28.6875,04-06,29.7075,30.4919642857143,32.41,1.91803571428571,4,58,1.0213509,0,29.7075,96,0.0
97,2035,4,2001-04-07,2001,7,28.8625,04-07,29.8825,30.4919642857143,33.31,2.81803571428571,4,58,1.0213509,0,29.8825,97,0.0
98,2035,4,2001-04-08,2001,8,28.3625,04-08,29.3825,30.4919642857143,32.31,1.81803571428572,4,58,1.0213509,0,29.3825,98,0.0
99,2035,4,2001-04-09,2001,9,28.7625,04-09,29.7825,30.4919642857143,33.81,3.31803571428571,4,58,1.0213509,0,29.7825,99,0.0
100,2035,4,2001-04-10,2001,10,29.6,04-10,30.62,30.4919642857143,32.61,2.11803571428571,4,58,1.0213509,0,30.62,100,0.0
101,2035,4,2001-04-11,2001,11,29.6,04-11,30.62,30.4919642857143,32.61,2.11803571428571,4,58,1.0213509,0,30.62,101,0.0
102,2035,4,2001-04-12,2001,12,27.15,04-12,28.17,30.4919642857143,30.31,-0.181964285714283,4,58,1.0213509,0,28.17,102,0.0
103,2035,4,2001-04-13,2001,13,27.3,04-13,28.32,30.4919642857143,31.31,0.818035714285717,4,58,1.0213509,0,28.32,103,0.0
104,2035,4,2001-04-14,2001,14,27.7,04-14,28.72,30.4919642857143,30.71,0.218035714285715,4,58,1.0213509,0,28.72,104,0.0
105,2035,4,2001-04-15,2001,15,27.7714285714286,04-15,28.7914285714286,30.4919642857143,31.31,0.818035714285717,4,58,1.0213509,0,28.7914285714286,105,0.0
106,2035,4,2001-04-16,2001,16,27.5125,04-16,28.5325,30.4919642857143,30.81,0.318035714285717,4,58,1.0213509,0,28.5325,106,0.0
107,2035,4,2001-04-17,2001,17,28.475,04-17,29.495,30.4919642857143,32.71,2.21803571428572,4,58,1.0213509,0,29.495,107,0.0
108,2035,4,2001-04-18,2001,18,28.6625,04-18,29.6825,30.4919642857143,33.31,2.81803571428571,4,58,1.0213509,0,30.703850900000003,108,1.0213509
109,2035,4,2001-04-19,2001,19,28.55,04-19,29.57,30.4919642857143,32.61,2.11803571428571,4,58,1.0213509,0,30.591350900000002,109,1.0213509
110,2035,4,2001-04-20,2001,20,28.7375,04-20,29.7575,30.4919642857143,32.81,2.31803571428572,4,58,1.0213509,0,30.778850900000002,110,1.0213509
111,2035,4,2001-04-21,2001,21,28.575,04-21,29.595,30.4919642857143,32.01,1.51803571428571,4,58,1.0213509,0,29.595,111,0.0
112,2035,4,2001-04-22,2001,22,28.675,04-22,29.695,30.4919642857143,32.31,1.81803571428572,4,58,1.0213509,0,29.695,112,0.0
113,2035,4,2001-04-23,2001,23,29.55,04-23,30.57,30.4919642857143,33.91,3.41803571428571,4,58,1.0213509,0,30.57,113,0.0
114,2035,4,2001-04-24,2001,24,28.8625,04-24,29.8825,30.4919642857143,31.81,1.31803571428572,4,58,1.0213509,0,29.8825,114,0.0
115,2035,4,2001-04-25,2001,25,28.7875,04-25,29.8075,30.4919642857143,32.21,1.71803571428572,4,58,1.0213509,0,29.8075,115,0.0
116,2035,4,2001-04-26,2001,26,28.2,04-26,29.22,30.4919642857143,32.01,1.51803571428571,4,58,1.0213509,0,30.2413509,116,1.0213509
117,2035,4,2001-04-27,2001,27,25.6625,04-27,26.6825,30.4919642857143,28.01,-2.48196428571428,4,58,1.0213509,0,27.703850900000003,117,1.0213509
118,2035,4,2001-04-28,2001,28,28.475,04-28,29.495,30.4919642857143,32.51,2.01803571428571,4,58,1.0213509,0,30.516350900000003,118,1.0213509
119,2035,4,2001-04-29,2001,29,29.3142857142857,04-29,30.3342857142857,30.4919642857143,33.41,2.91803571428571,4,58,1.0213509,0,30.3342857142857,119,0.0
120,2035,4,2001-04-30,2001,30,29.3,04-30,30.32,30.4919642857143,33.11,2.61803571428571,4,58,1.0213509,0,30.32,120,0.0
121,2035,5,2001-05-01,2001,1,29.3625,05-01,30.4725,31.7309267241379,33.3,1.56907327586207,4,58,1.0213509,0,30.4725,121,0.0
122,2035,5,2001-05-02,2001,2,29.5875,05-02,30.6975,31.7309267241379,33.6,1.86907327586207,4,58,1.0213509,0,30.6975,122,0.0
123,2035,5,2001-05-03,2001,3,29.475,05-03,30.585,31.7309267241379,33.8,2.06907327586207,4,58,1.0213509,0,30.585,123,0.0
124,2035,5,2001-05-04,2001,4,29.0714285714286,05-04,30.1814285714286,31.7309267241379,33.2,1.46907327586207,4,58,1.0213509,0,30.1814285714286,124,0.0
125,2035,5,2001-05-05,2001,5,29.4,05-05,30.51,31.7309267241379,33.6,1.86907327586207,4,58,1.0213509,0,30.51,125,0.0
126,2035,5,2001-05-06,2001,6,29.2285714285714,05-06,30.3385714285714,31.7309267241379,34.2,2.46907327586207,4,58,1.0213509,0,30.3385714285714,126,0.0
127,2035,5,2001-05-07,2001,7,30.0125,05-07,31.1225,31.7309267241379,34.3,2.56907327586207,4,58,1.0213509,0,31.1225,127,0.0
128,2035,5,2001-05-08,2001,8,30.65,05-08,31.76,31.7309267241379,35.4,3.66907327586207,4,58,1.0213509,0,31.76,128,0.0
129,2035,5,2001-05-09,2001,9,30.9142857142857,05-09,32.0242857142857,31.7309267241379,37.4,5.66907327586207,4,58,1.0213509,0,32.0242857142857,129,0.0
130,2035,5,2001-05-10,2001,10,28.0125,05-10,29.1225,31.7309267241379,35.6,3.86907327586207,4,58,1.0213509,0,29.1225,130,0.0
131,2035,5,2001-05-11,2001,11,28.125,05-11,29.235,31.7309267241379,31.7,-0.030926724137931,4,58,1.0213509,0,29.235,131,0.0
132,2035,5,2001-05-12,2001,12,26.6,05-12,27.71,31.7309267241379,30.2,-1.53092672413793,4,58,1.0213509,0,27.71,132,0.0
133,2035,5,2001-05-13,2001,13,27.9,05-13,29.01,31.7309267241379,30.5,-1.23092672413793,4,58,1.0213509,0,29.01,133,0.0
134,2035,5,2001-05-14,2001,14,26.4875,05-14,27.5975,31.7309267241379,28.6,-3.13092672413793,4,58,1.0213509,0,27.5975,134,0.0
135,2035,5,2001-05-15,2001,15,27.3285714285714,05-15,28.4385714285714,31.7309267241379,31.5,-0.23092672413793,4,58,1.0213509,0,28.4385714285714,135,0.0
136,2035,5,2001-05-16,2001,16,27.9714285714286,05-16,29.0814285714286,31.7309267241379,32.6,0.869073275862068,4,58,1.0213509,0,29.0814285714286,136,0.0
137,2035,5,2001-05-17,2001,17,28.75,05-17,29.86,31.7309267241379,32.2,0.469073275862069,4,58,1.0213509,0,29.86,137,0.0
138,2035,5,2001-05-18,2001,18,29.1625,05-18,30.2725,31.7309267241379,33.4,1.66907327586207,4,58,1.0213509,0,30.2725,138,0.0
139,2035,5,2001-05-19,2001,19,28.8625,05-19,29.9725,31.7309267241379,33.0,1.26907327586207,4,58,1.0213509,0,29.9725,139,0.0
140,2035,5,2001-05-20,2001,20,29.1625,05-20,30.2725,31.7309267241379,33.3,1.56907327586207,4,58,1.0213509,0,30.2725,140,0.0
141,2035,5,2001-05-21,2001,21,29.7125,05-21,30.8225,31.7309267241379,34.0,2.26907327586207,4,58,1.0213509,0,30.8225,141,0.0
142,2035,5,2001-05-22,2001,22,29.8875,05-22,30.9975,31.7309267241379,34.7,2.96907327586207,4,58,1.0213509,0,30.9975,142,0.0
143,2035,5,2001-05-23,2001,23,30.05,05-23,31.16,31.7309267241379,34.0,2.26907327586207,4,58,1.0213509,0,31.16,143,0.0
144,2035,5,2001-05-24,2001,24,29.975,05-24,31.085,31.7309267241379,33.7,1.96907327586207,4,58,1.0213509,0,31.085,144,0.0
145,2035,5,2001-05-25,2001,25,29.7625,05-25,30.8725,31.7309267241379,34.1,2.36907327586207,4,58,1.0213509,0,30.8725,145,0.0
146,2035,5,2001-05-26,2001,26,28.95,05-26,30.06,31.7309267241379,33.5,1.76907327586207,4,58,1.0213509,0,30.06,146,0.0
147,2035,5,2001-05-27,2001,27,28.275,05-27,29.385,31.7309267241379,31.8,0.0690732758620705,4,58,1.0213509,0,29.385,147,0.0
148,2035,5,2001-05-28,2001,28,27.5625,05-28,28.6725,31.7309267241379,33.5,1.76907327586207,4,58,1.0213509,0,28.6725,148,0.0
149,2035,5,2001-05-29,2001,29,27.525,05-29,28.635,31.7309267241379,32.1,0.369073275862068,4,58,1.0213509,0,28.635,149,0.0
150,2035,5,2001-05-30,2001,30,28.875,05-30,29.985,31.7309267241379,33.0,1.26907327586207,4,58,1.0213509,0,29.985,150,0.0
151,2035,5,2001-05-31,2001,31,28.6571428571429,05-31,29.7671428571429,31.7309267241379,33.3,1.56907327586207,4,58,1.0213509,0,29.7671428571429,151,0.0
152,2035,6,2001-06-01,2001,1,28.9625,06-01,29.9325,32.0588628762542,32.42,0.36113712374582,4,58,1.0213509,0,29.9325,152,0.0
153,2035,6,2001-06-02,2001,2,27.4666666666667,06-02,28.4366666666667,32.0588628762542,30.12,-1.93886287625418,4,58,1.0213509,0,29.4580175666667,153,1.0213509
154,2035,6,2001-06-03,2001,3,27.95,06-03,28.92,32.0588628762542,32.32,0.261137123745819,4,58,1.0213509,0,29.941350900000003,154,1.0213509
155,2035,6,2001-06-04,2001,4,27.75,06-04,28.72,32.0588628762542,32.72,0.661137123745817,4,58,1.0213509,0,29.7413509,155,1.0213509
156,2035,6,2001-06-05,2001,5,27.9875,06-05,28.9575,32.0588628762542,33.12,1.06113712374582,4,58,1.0213509,0,28.9575,156,0.0
157,2035,6,2001-06-06,2001,6,27.7,06-06,28.67,32.0588628762542,33.72,1.66113712374582,4,58,1.0213509,0,28.67,157,0.0
158,2035,6,2001-06-07,2001,7,27.425,06-07,28.395,32.0588628762542,32.42,0.36113712374582,4,58,1.0213509,0,28.395,158,0.0
159,2035,6,2001-06-08,2001,8,28.2375,06-08,29.2075,32.0588628762542,33.62,1.56113712374582,4,58,1.0213509,0,29.2075,159,0.0
160,2035,6,2001-06-09,2001,9,29.1875,06-09,30.1575,32.0588628762542,33.42,1.36113712374582,4,58,1.0213509,0,30.1575,160,0.0
161,2035,6,2001-06-10,2001,10,28.7625,06-10,29.7325,32.0588628762542,34.02,1.96113712374582,4,58,1.0213509,0,30.753850900000003,161,1.0213509
162,2035,6,2001-06-11,2001,11,28.375,06-11,29.345,32.0588628762542,32.62,0.561137123745823,4,58,1.0213509,0,30.3663509,162,1.0213509
163,2035,6,2001-06-12,2001,12,28.85,06-12,29.82,32.0588628762542,35.22,3.16113712374582,4,58,1.0213509,0,30.841350900000002,163,1.0213509
164,2035,6,2001-06-13,2001,13,29.1625,06-13,30.1325,32.0588628762542,34.82,2.76113712374582,4,58,1.0213509,0,30.1325,164,0.0
165,2035,6,2001-06-14,2001,14,29.325,06-14,30.295,32.0588628762542,33.12,1.06113712374582,4,58,1.0213509,0,31.316350900000003,165,1.0213509
166,2035,6,2001-06-15,2001,15,28.55,06-15,29.52,32.0588628762542,32.42,0.36113712374582,4,58,1.0213509,0,30.5413509,166,1.0213509
167,2035,6,2001-06-16,2001,16,29.9375,06-16,30.9075,32.0588628762542,34.62,2.56113712374582,4,58,1.0213509,0,31.9288509,167,1.0213509
168,2035,6,2001-06-17,2001,17,30.0125,06-17,30.9825,32.0588628762542,34.42,2.36113712374582,4,58,1.0213509,0,30.9825,168,0.0
169,2035,6,2001-06-18,2001,18,29.625,06-18,30.595,32.0588628762542,33.82,1.76113712374582,4,58,1.0213509,0,30.595,169,0.0
170,2035,6,2001-06-19,2001,19,29.9625,06-19,30.9325,32.0588628762542,34.72,2.66113712374582,4,58,1.0213509,0,30.9325,170,0.0
171,2035,6,2001-06-20,2001,20,30.3,06-20,31.27,32.0588628762542,35.12,3.06113712374582,4,58,1.0213509,0,31.27,171,0.0
172,2035,6,2001-06-21,2001,21,29.7125,06-21,30.6825,32.0588628762542,35.02,2.96113712374582,4,58,1.0213509,0,30.6825,172,0.0
173,2035,6,2001-06-22,2001,22,29.2875,06-22,30.2575,32.0588628762542,35.22,3.16113712374582,4,58,1.0213509,0,30.2575,173,0.0
174,2035,6,2001-06-23,2001,23,28.9,06-23,29.87,32.0588628762542,32.62,0.561137123745823,4,58,1.0213509,0,29.87,174,0.0
175,2035,6,2001-06-24,2001,24,29.1,06-24,30.07,32.0588628762542,32.42,0.36113712374582,4,58,1.0213509,0,30.07,175,0.0
176,2035,6,2001-06-25,2001,25,28.825,06-25,29.795,32.0588628762542,34.02,1.96113712374582,4,58,1.0213509,0,29.795,176,0.0
177,2035,6,2001-06-26,2001,26,28.625,06-26,29.595,32.0588628762542,34.52,2.46113712374582,4,58,1.0213509,0,29.595,177,0.0
178,2035,6,2001-06-27,2001,27,29.3571428571429,06-27,30.3271428571429,32.0588628762542,32.42,0.36113712374582,4,58,1.0213509,0,30.3271428571429,178,0.0
179,2035,6,2001-06-28,2001,28,29.0125,06-28,29.9825,32.0588628762542,31.62,-0.438862876254177,4,58,1.0213509,0,29.9825,179,0.0
