Column1,futureYear,Month,DATE,Year,Day,TAVG,DoY,futureTAVG,NormalMMAX,futureTMAX,futureDeltaMAX,futureDeltaDuration,futureDeltaFrequency,futureDeltaPeak,frequencyBanned,futureHeatwave,Time,HeatWaveAdditional
1,2036,1,2002-01-01,2002,1,23.3285714285714,01-01,24.3285714285714,26.6484324324324,26.83,0.181567567567569,6,68,1.292942,0,24.3285714285714,1,0.0
2,2036,1,2002-01-02,2002,2,24.6625,01-02,25.6625,26.6484324324324,27.33,0.681567567567569,6,68,1.292942,0,25.6625,2,0.0
3,2036,1,2002-01-03,2002,3,24.15,01-03,25.15,26.6484324324324,27.23,0.581567567567568,6,68,1.292942,0,25.15,3,0.0
4,2036,1,2002-01-04,2002,4,24.1625,01-04,25.1625,26.6484324324324,26.73,0.0815675675675678,6,68,1.292942,0,25.1625,4,0.0
5,2036,1,2002-01-05,2002,5,23.35,01-05,24.35,26.6484324324324,27.13,0.48156756756757,6,68,1.292942,0,24.35,5,0.0
6,2036,1,2002-01-06,2002,6,24.0125,01-06,25.0125,26.6484324324324,27.33,0.681567567567569,6,68,1.292942,0,25.0125,6,0.0
7,2036,1,2002-01-07,2002,7,23.9142857142857,01-07,24.9142857142857,26.6484324324324,27.33,0.681567567567569,6,68,1.292942,0,24.9142857142857,7,0.0
8,2036,1,2002-01-08,2002,8,23.6875,01-08,24.6875,26.6484324324324,27.33,0.681567567567569,6,68,1.292942,0,24.6875,8,0.0
9,2036,1,2002-01-09,2002,9,23.275,01-09,24.275,26.6484324324324,26.63,-0.0184324324324301,6,68,1.292942,0,24.275,9,0.0
10,2036,1,2002-01-10,2002,10,23.6375,01-10,24.6375,26.6484324324324,27.13,0.48156756756757,6,68,1.292942,0,24.6375,10,0.0
11,2036,1,2002-01-11,2002,11,23.2,01-11,24.2,26.6484324324324,27.33,0.681567567567569,6,68,1.292942,0,24.2,11,0.0
12,2036,1,2002-01-12,2002,12,23.5625,01-12,24.5625,26.6484324324324,27.23,0.581567567567568,6,68,1.292942,0,24.5625,12,0.0
13,2036,1,2002-01-13,2002,13,24.125,01-13,25.125,26.6484324324324,27.43,0.781567567567567,6,68,1.292942,0,25.125,13,0.0
