Column1,futureYear,Month,DATE,Year,Day,TAVG,DoY,futureTAVG,NormalMMAX,futureTMAX,futureDeltaMAX,futureDeltaDuration,futureDeltaFrequency,futureDeltaPeak,frequencyBanned,futureHeatwave,Time,HeatWaveAdditional
1,2039,1,2005-01-01,2005,1,22.4,01-01,23.4,26.6484324324324,25.83,-0.818432432432431,12,86,1.5488892,0,23.4,1,0.0
2,2039,1,2005-01-02,2005,2,22.35,01-02,23.35,26.6484324324324,26.73,0.0815675675675678,12,86,1.5488892,0,23.35,2,0.0
3,2039,1,2005-01-03,2005,3,22.725,01-03,23.725,26.6484324324324,26.43,-0.218432432432433,12,86,1.5488892,0,23.725,3,0.0
4,2039,1,2005-01-04,2005,4,23.625,01-04,24.625,26.6484324324324,28.33,1.68156756756757,12,86,1.5488892,0,24.625,4,0.0
5,2039,1,2005-01-05,2005,5,24.275,01-05,25.275,26.6484324324324,28.83,2.18156756756757,12,86,1.5488892,0,25.275,5,0.0
6,2039,1,2005-01-06,2005,6,23.9875,01-06,24.9875,26.6484324324324,27.63,0.98156756756757,12,86,1.5488892,0,24.9875,6,0.0
7,2039,1,2005-01-07,2005,7,24.6875,01-07,25.6875,26.6484324324324,27.43,0.781567567567567,12,86,1.5488892,0,25.6875,7,0.0
8,2039,1,2005-01-08,2005,8,23.975,01-08,24.975,26.6484324324324,28.23,1.58156756756757,12,86,1.5488892,0,24.975,8,0.0
9,2039,1,2005-01-09,2005,9,22.575,01-09,23.575,26.6484324324324,26.03,-0.618432432432432,12,86,1.5488892,0,23.575,9,0.0
10,2039,1,2005-01-10,2005,10,24.3875,01-10,25.3875,26.6484324324324,27.73,1.08156756756757,12,86,1.5488892,0,25.3875,10,0.0
11,2039,1,2005-01-11,2005,11,23.3375,01-11,24.3375,26.6484324324324,25.93,-0.718432432432433,12,86,1.5488892,0,24.3375,11,0.0
12,2039,1,2005-01-12,2005,12,23.1375,01-12,24.1375,26.6484324324324,26.73,0.0815675675675678,12,86,1.5488892,0,24.1375,12,0.0
13,2039,1,2005-01-13,2005,13,23.9714285714286,01-13,24.9714285714286,26.6484324324324,27.03,0.381567567567568,12,86,1.5488892,0,24.9714285714286,13,0.0
14,2039,1,2005-01-14,2005,14,23.8666666666667,01-14,24.8666666666667,26.6484324324324,26.43,-0.218432432432433,12,86,1.5488892,0,24.8666666666667,14,0.0
15,2039,1,2005-01-15,2005,15,22.9,01-15,23.9,26.6484324324324,25.23,-1.41843243243243,12,86,1.5488892,0,23.9,15,0.0
16,2039,1,2005-01-16,2005,16,22.45,01-16,23.45,26.6484324324324,25.13,-1.51843243243243,12,86,1.5488892,0,23.45,16,0.0
17,2039,1,2005-01-17,2005,17,22.25,01-17,23.25,26.6484324324324,25.13,-1.51843243243243,12,86,1.5488892,0,23.25,17,0.0
18,2039,1,2005-01-18,2005,18,22.4571428571429,01-18,23.4571428571429,26.6484324324324,26.23,-0.418432432432432,12,86,1.5488892,0,23.4571428571429,18,0.0
19,2039,1,2005-01-19,2005,19,22.85,01-19,23.85,26.6484324324324,27.33,0.681567567567569,12,86,1.5488892,0,23.85,19,0.0
20,2039,1,2005-01-20,2005,20,23.9714285714286,01-20,24.9714285714286,26.6484324324324,27.93,1.28156756756757,12,86,1.5488892,0,24.9714285714286,20,0.0
21,2039,1,2005-01-21,2005,21,24.225,01-21,25.225,26.6484324324324,27.33,0.681567567567569,12,86,1.5488892,0,25.225,21,0.0
22,2039,1,2005-01-22,2005,22,24.225,01-22,25.225,26.6484324324324,27.63,0.98156756756757,12,86,1.5488892,0,25.225,22,0.0
23,2039,1,2005-01-23,2005,23,24.1,01-23,25.1,26.6484324324324,27.63,0.98156756756757,12,86,1.5488892,0,25.1,23,0.0
24,2039,1,2005-01-24,2005,24,23.675,01-24,24.675,26.6484324324324,26.93,0.281567567567567,12,86,1.5488892,0,24.675,24,0.0
25,2039,1,2005-01-25,2005,25,23.6125,01-25,24.6125,26.6484324324324,28.63,1.98156756756757,12,86,1.5488892,0,24.6125,25,0.0
26,2039,1,2005-01-26,2005,26,23.425,01-26,24.425,26.6484324324324,27.63,0.98156756756757,12,86,1.5488892,0,24.425,26,0.0
27,2039,1,2005-01-27,2005,27,24.1625,01-27,25.1625,26.6484324324324,29.13,2.48156756756757,12,86,1.5488892,0,25.1625,27,0.0
28,2039,1,2005-01-28,2005,28,24.6714285714286,01-28,25.6714285714286,26.6484324324324,28.53,1.88156756756757,12,86,1.5488892,0,25.6714285714286,28,0.0
29,2039,1,2005-01-29,2005,29,24.4625,01-29,25.4625,26.6484324324324,28.53,1.88156756756757,12,86,1.5488892,0,25.4625,29,0.0
30,2039,1,2005-01-30,2005,30,24.5875,01-30,25.5875,26.6484324324324,28.33,1.68156756756757,12,86,1.5488892,0,25.5875,30,0.0
31,2039,1,2005-01-31,2005,31,24.3875,01-31,25.3875,26.6484324324324,27.73,1.08156756756757,12,86,1.5488892,0,25.3875,31,0.0
32,2039,2,2005-02-01,2005,1,24.0125,02-01,24.8925,27.4143369175627,28.4,0.985663082437274,12,86,1.5488892,0,24.8925,32,0.0
33,2039,2,2005-02-02,2005,2,24.625,02-02,25.505,27.4143369175627,28.8,1.38566308243728,12,86,1.5488892,0,27.0538892,33,1.5488892
34,2039,2,2005-02-03,2005,3,24.3,02-03,25.18,27.4143369175627,27.8,0.385663082437276,12,86,1.5488892,0,26.7288892,34,1.5488892
